banco;comercio;descuento;descuento_pct;tope;dias;horario;lugares;tarjetas;modalidad;region;vigencia;url;condiciones
Banco Falabella;Coppelia;40%;40;Sin Tope;Lunes;;;"CMR Mastercard; CMR Mastercard Premium; Tarjeta Débito Banco Falabella; CMR Mastercard Elite";Presencial;Región Metropolitana de Santiago;2026-08-01 → 2026-09-30;https://www.bancofalabella.cl/descuentos/detalle/coppelia;Sigue estos pasos: /  / - Todos los Lunes / - 40% de descuento pagando con tu CMR y 30% de descuento pagando con Débito Banco Falabella. / CONDICIONES  / - Solo Presencial / - No acumulable sobre otras promociones
Banco Falabella;Petit;40% (40% dcto sin tope con CMR y 30% sin tope con Débito Banco Falabella);40;Sin Tope;Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo;;Alto las Condes;"CMR Mastercard Elite; CMR Mastercard; CMR Mastercard Premium; Tarjeta Débito Banco Falabella";Presencial;Región Metropolitana de Santiago;2025-11-01 → 2026-09-30;https://www.bancofalabella.cl/descuentos/detalle/petit;Conoce el detalle /  / Descuento: 40% dcto sin tope con CMR y 30% sin tope con Débito Banco Falabella / - De lunes a domingo / - Exclusivo Alto las Condes
Banco Falabella;Patio Bulnes Restobar;40% (40% dcto con CMR y 30% con Débito Banco Falabella.);40;Sin Tope;Lunes;;"Buin; Manuel Bulnes 491, comuna de Buin, Región Metropolitana";"CMR Mastercard; CMR Mastercard Premium; Tarjeta Débito Banco Falabella; CMR Mastercard Elite";Presencial;Región Metropolitana de Santiago;2026-06-01 → 2026-09-30;https://www.bancofalabella.cl/descuentos/detalle/patio-bulnes-restobar;Sigue estos pasos /  / - Usa tu tarjeta CMR o Débito Banco Falabella como medio de pago / - Y listo! Ya tienes tu 40% dcto con CMR y 30% con Débito Banco Falabella. / Condiciones: / *Solo Presencial / - Todos los Lunes / *Dirección: Manuel Bulnes 491, comuna de Buin, Región Metropolitana
Banco Falabella;La Maestranza;40% (40% dcto con CMR y 30% con Débito Banco Falabella.);40;Sin Tope;Lunes, Miércoles, Viernes;;Avenida Vitacura 5468, Vitacura – Santiago;"CMR Mastercard; CMR Mastercard Premium; CMR Mastercard Elite; Tarjeta Débito Banco Falabella";Presencial;Región Metropolitana de Santiago;2026-01-01 → 2026-09-30;https://www.bancofalabella.cl/descuentos/detalle/la-maestranza;Sigue estos pasos /  / - Has tu reserva en La Maestranza / - Usa tu tarjeta CMR o Débito Banco Falabella como medio de pago / - Y listo! Ya tienes tu 40% dcto con CMR y 30% con Débito Banco Falabella. / Condiciones: / *Solo Presencial / - Todos los lunes, miércoles y viernes / - *Dirección: Avenida Vitacura 5468, Vitacura – Santiago
Banco Falabella;Kento Gourmet;40%;40;Sin Tope;Lunes, Martes, Miércoles, Jueves;;"Alto Las Condes (Av Presidente Kennedy Lateral 9001); Parque Arauco (Av Presidente Kennedy 5413); Av. Vitacura 5460";"CMR Mastercard; CMR Mastercard Premium; CMR Mastercard Elite; Tarjeta Débito Banco Falabella";Presencial;Región Metropolitana de Santiago;2026-01-01 → 2026-09-30;https://www.bancofalabella.cl/descuentos/detalle/kento-gourmet;¡Sin Tope! Disfruta con un 40% de dcto pagando con tu CMR y 30% de dcto pagando con débito Banco Falabella / Locales: / - Alto Las Condes (Av Presidente Kennedy Lateral 9001) / - Parque Arauco (Av Presidente Kennedy 5413) / - Av. Vitacura 5460 / Condiciones: / - Excluye promociones / - Exclusivo presencial / - lunes a jueves
Banco Falabella;Frida Kahlo;40% (40% dcto sin tope con CMR y 30% dcto sin tope con Débito Banco Falabella);40;Sin Tope;Lunes, Martes, Miércoles, Jueves;;Costanera Center: lunes a jueves;"Tarjeta Débito Banco Falabella; CMR Mastercard Elite; CMR Mastercard Premium; CMR Mastercard";Presencial;Región Metropolitana de Santiago;2026-01-01 → 2026-09-30;https://www.bancofalabella.cl/descuentos/detalle/frida-kahlo;Conoce el detalle /  / Descuento: 40% dcto sin tope con CMR y 30% dcto sin tope con Débito Banco Falabella / Válido en locales: / - Costanera Center: lunes a jueves
Banco Falabella;Vapiano;40% (40% dcto con CMR y 30% con Débito Banco Falabella.);40;Sin Tope;Lunes, Miércoles, Viernes, Sábado, Domingo;;Avenida Presidente Kennedy 5413, Las Condes, Región Metropolitana y Avenida Providencia 1984, Providencia. Región Metropolitana;"CMR Mastercard; CMR Mastercard Premium; CMR Mastercard Elite; Tarjeta Débito Banco Falabella";Presencial;Región Metropolitana de Santiago;2026-01-01 → 2026-09-30;https://www.bancofalabella.cl/descuentos/detalle/vapiano;Sigue estos pasos /  / - Has tu reserva en Vapiano / - Usa tu tarjeta CMR o Débito Banco Falabella como medio de pago / - Y listo! Ya tienes tu 40% dcto con CMR y 30% con Débito Banco Falabella. / Condiciones: / *Solo Presencial / - Todos los Lunes, Miércoles, Viernes, Sábados y Domingos / *Dirección: Avenida Presidente Kennedy 5413, Las Condes, Región Metropolitana y Avenida Providencia 1984, Providencia. Región Metropolitana
Banco Falabella;Muu grill;40% (40% dcto sin tope con CMR y 30% dcto sin tope con Débito Banco Falabella);40;Sin Tope;Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo;;"Mallplaza Oeste: Todos los días; Mallplaza Egaña: Todos los días; Mallplaza Vespucio: Todos los días; Mallplaza Tobalaba: Todos los días; Mallplaza Los Dominicos: Todos los días; AV Isidora Goyenechea 3000, las condes: Todos los días; Vivo panorámico: Todos los días; Mercado Bulnes: Todos los días; Costanera Center: Todos los días; Mall Marina Viña: Todos los días; Mallplaza Antofagasta: Lunes a miércoles";"CMR Mastercard; CMR Mastercard Premium; CMR Mastercard Elite; Tarjeta Débito Banco Falabella";Presencial;Región Metropolitana de Santiago, Región de Valparaíso;2026-01-01 → 2026-09-30;https://www.bancofalabella.cl/descuentos/detalle/40-de-dcto-en-restaurantes-mallplaza-muu-grill;Conoce el detalle /  / Descuento: 40% dcto sin tope con CMR y 30% dcto sin tope con Débito Banco Falabella / Válido en locales: / - Mallplaza Oeste: Todos los días / - Mallplaza Egaña: Todos los días / - Mallplaza Vespucio: Todos los días / - Mallplaza Tobalaba: Todos los días / - Mallplaza Los Dominicos: Todos los días / - AV Isidora Goyenechea 3000, las condes: Todos los días / - Vivo panorámico: Todos los días / - Mercado Bulnes: Todos los días / - Costanera Center: Todos los días / - Mall Marina Viña: Todos los días / - Mallplaza Antofagasta: Lunes a miércoles
Banco Falabella;Cabrera al Paso;40% (40% dcto sin tope con CMR y 30% dcto sin tope con Débito Banco Falabella);40;Sin Tope;Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo;;Mallplaza Egaña: lunes a domingo;"CMR Mastercard; CMR Mastercard Premium; CMR Mastercard Elite; Tarjeta Débito Banco Falabella";Presencial;Región Metropolitana de Santiago;2026-01-01 → 2026-09-30;https://www.bancofalabella.cl/descuentos/detalle/la-cabrera-al-paso;Conoce el detalle /  / Descuento: 40% dcto sin tope con CMR y 30% dcto sin tope con Débito Banco Falabella / Válido en locales: / - Mallplaza Egaña: lunes a domingo
Banco Falabella;Tanta;40% (40% dcto sin tope con CMR y 30% dcto sin tope con Débito Banco Falabella);40;Sin Tope;Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo;;"Isidora 3000: Viernes a domingo; Mallplaza Norte: lunes a jueves; Mall Florida Center: Todos los dias; Mallplaza Tobalaba: Todos los dias; Mallplaza Egaña: lunes a miércoles";"CMR Mastercard; CMR Mastercard Premium; CMR Mastercard Elite; Tarjeta Débito Banco Falabella";Presencial;Región Metropolitana de Santiago, Región de Valparaíso;2026-01-01 → 2026-09-30;https://www.bancofalabella.cl/descuentos/detalle/40-de-dcto-en-restaurantes-mallplaza-tanta;Conoce el detalle /  / Descuento: 40% dcto sin tope con CMR y 30% dcto sin tope con Débito Banco Falabella / Válido en locales: / - Isidora 3000: Viernes a domingo / - Mallplaza Norte: lunes a jueves / - Mall Florida Center: Todos los dias / - Mallplaza Tobalaba: Todos los dias / - Mallplaza Egaña: lunes a miércoles
Banco Falabella;Mamma mia;40% (40% dcto sin tope con CMR y 30% dcto sin tope con Débito Banco Falabella);40;Sin Tope;Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo;;"Mallplaza Tobalaba: Todos los días; Vivo Panorámico: Todos los días; Parque Arauco: Todos los días; Mallplaza Antofagasta: lunes a miércoles";"Tarjeta Débito Banco Falabella; CMR Mastercard Elite; CMR Mastercard Premium; CMR Mastercard";Presencial;Región Metropolitana de Santiago;2026-01-01 → 2026-09-30;https://www.bancofalabella.cl/descuentos/detalle/40-de-dcto-en-restaurantes-mallplaza-mamma-mia;Conoce el detalle /  / Descuento: Hasta 40% dcto sin tope con CMR y 30% dcto sin tope con Débito Banco Falabella / Válido en locales: / - Mallplaza Tobalaba: Todos los días / - Vivo Panorámico: Todos los días / - Parque Arauco: Todos los días / - Mallplaza Antofagasta: lunes a miércoles.
Banco Falabella;Berlín Doner Kebab;40%;40;Sin Tope;Lunes, Martes, Jueves;;;"CMR Mastercard; CMR Mastercard Premium; CMR Mastercard Elite; Tarjeta Débito Banco Falabella";Presencial;Región Metropolitana de Santiago;2025-10-01 → 2026-09-30;https://www.bancofalabella.cl/descuentos/detalle/berlin-doner-kebab;Locales: / Gerónimo de Alderete 1579, Vitacura. / Irarrázaval 1520, Ñuñoa. / Condiciones: / - Excluye promociones
Banco Falabella;Kairos garden;40% (40% dcto sin tope con CMR y 30% dcto sin tope con Débito Banco Falabella);40;Sin Tope;Lunes, Martes;;Mall Plaza Vespucio: lunes y martes;"CMR Mastercard; CMR Mastercard Elite; CMR Mastercard Premium; Tarjeta Débito Banco Falabella";Presencial;Región Metropolitana de Santiago;2026-01-01 → 2026-09-30;https://www.bancofalabella.cl/descuentos/detalle/kairos-garden;Conoce el detalle /  / Descuento: 40% dcto sin tope con CMR y 30% dcto sin tope con Débito Banco Falabella / Válido en locales: / - Mall Plaza Vespucio: lunes y martes
Banco Falabella;La piazza;40% (40% dcto sin tope con CMR y 30% dcto sin tope con Débito Banco Falabella);40;Sin Tope;Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo;Open Kennedy desde las 19:00hrs: miércoles a domingo;"Mall Plaza Vespucio: Todos los días; Open Kennedy: lunes y martes; Open Kennedy desde las 19:00hrs: miércoles a domingo";"CMR Mastercard; CMR Mastercard Premium; CMR Mastercard Elite; Tarjeta Débito Banco Falabella";Presencial;Región Metropolitana de Santiago;2026-01-01 → 2026-09-30;https://www.bancofalabella.cl/descuentos/detalle/sog-la-piazza;Conoce el detalle /  / Descuento: 40% dcto sin tope con CMR y 30% dcto sin tope con Débito Banco Falabella / Válido en locales: / - Mall Plaza Vespucio: Todos los días / - Open Kennedy: lunes y martes / - Open Kennedy desde las 19:00hrs: miércoles a domingo
Banco Falabella;La patrona;40% (40% dcto sin tope con CMR y 30% dcto sin tope con Débito Banco Falabella);40;Sin Tope;Lunes, Martes, Miércoles, Jueves;;La Patrona Mall Plaza Vespucio: lunes a jueves;"CMR Mastercard; CMR Mastercard Premium; CMR Mastercard Elite; Tarjeta Débito Banco Falabella";Presencial;Región Metropolitana de Santiago;2026-01-01 → 2026-09-30;https://www.bancofalabella.cl/descuentos/detalle/40-de-dcto-en-restaurantes-mallplaza-la-patrona;Conoce el detalle /  / Descuento: Hasta 40% dcto sin tope con CMR y 30% dcto sin tope con Débito Banco Falabella / Válido en locales: / - La Patrona Mall Plaza Vespucio: lunes a jueves
Banco Falabella;Paris texas;40% (40% dcto sin tope con CMR y 30% dcto sin tope con Débito Banco Falabella);40;Sin Tope;Lunes, Martes, Miércoles, Jueves;;Paris Texas Mallplaza Vespucio: lunes a jueves;"CMR Mastercard; CMR Mastercard Premium; Tarjeta Débito Banco Falabella; CMR Mastercard Elite";Presencial;Región Metropolitana de Santiago;2026-01-01 → 2026-09-30;https://www.bancofalabella.cl/descuentos/detalle/40-de-dcto-en-restaurantes-mallplaza-paris-texas;Conoce el detalle /  / Descuento: 40% dcto sin tope con CMR y 30% dcto sin tope con Débito Banco Falabella / Válido en locales: / - Paris Texas Mallplaza Vespucio: lunes a jueves
